Date,Сalories (kсal),Distance (m),Height (m),Min. latitude (deg.),Min. longitude (deg.),Max. latitude (deg.),Max. longitude (deg.),Average Speed (m/s),Max. Speed (m/s),Min. Speed (m/s),Number of Steps,Average weight (kg),Max. weight (kg),Min. weight (kg),Active Minutes,Heart Beats,Duration: Rest (ms),Duration: Walking (ms),Duration: Running (ms),Duration: Calisthenics (ms),Duration: Gymnastics (ms),Duration: Pilates (ms),Duration: Sleeping (ms),Duration: Swimming (ms)
2019-10-17,1885.204631231918,5813.1243351101875,,31.8214005,35.2371164,31.8268488,35.2448387,0.8705165937553452,1.9245970249176025,0.2564540505409241,9937,61.900001525878906,61.900001525878906,61.900001525878906,135,,59018571,6215558,,,,,18000000,1800000
2019-10-18,1713.8853740117013,4453.406289458275,,31.7799957,35.2124573,31.8217538,35.2434054,0.8672391285774695,11.217596054077148,0.19287516176700592,9392,,,,112,,75587753,6557468,,,,,,
2019-10-19,1597.968409170421,1807.5385704040527,,31.8161722,35.2438997,31.8212963,35.2492174,0.960020565395638,2.453284740447998,0.343972772359848,3701,62.29999923706055,62.29999923706055,62.29999923706055,70,,81805501,2391832,,1977000,,,,
2019-10-20,1394.9999730150541,,,,,,,1.6086659332657964,2.2598583698272705,0.686687707901001,12,,,,,,86400000,,,,,,,
2019-10-21,1766.7332590821818,4009.371203660965,,31.821201,35.2372694,31.8316776,35.2454602,0.7563323754230349,7.163084506988525,0.09778035432100296,8033,,,,116,,78530704,5789341,,1902000,,,,
2019-10-22,1796.3858873845056,4488.117582321167,,31.8198386,35.2371095,31.8256331,35.2444589,0.7837295388415015,3.713986396789551,0.0,8389,,,,118,,77714726,4153939,,,,,,1800000
2019-10-23,1490.2609942616791,1378.5754289627075,,31.8197976,35.2425803,31.8217311,35.245943,1.2098338515583849,1.9777718782424927,0.28529515862464905,2515,,,,28,,84480005,1919995,,,,,,
2019-10-24,1610.928564933424,4093.97485610703,,31.780453,35.2158432,31.824231,35.2444797,0.8587757259458383,1.90632164478302,0.41447770595550537,8035,,,,81,,77804976,4352061,,,,,,
2019-10-25,1449.2893962797211,1099.984586969018,,31.8213459,35.2392071,31.8217207,35.2434884,1.6961111468312142,14.72800064086914,0.2837056517601013,2179,,,,24,,81969800,1094210,,,,,,
2019-10-26,1461.7282264522646,1125.3300821185112,,31.8215979,35.239863,31.8216983,35.2428961,0.6405761851780812,1.6475380659103394,0.3783815801143646,2258,,,,24,,84594419,1344916,,,,,,
2019-10-27,1585.0586011969883,3236.9013488292694,,31.8189005,35.2392881,31.8251677,35.2443254,0.9136298120744728,4.06215763092041,0.2602260708808899,8045,,,,92,,77744396,3830650,,,,,,
2019-10-28,1963.3884135228484,6971.296875257045,,31.7798698,35.2127839,31.8250007,35.2449781,1.1314091000524427,3.644515037536621,0.0,12198,,,,161,,74601481,7591010,,,,,,1800000
2019-10-29,1735.660581560564,7458.003079578746,,31.7796587,35.2125692,31.8217037,35.2468213,0.9470286109634757,8.736247062683105,0.21374298632144928,12092,,,,125,,75145936,6866045,,,,,,
2019-10-30,1551.5141777911238,3475.4142172932625,,31.7804868,35.2128241,31.8218284,35.2439548,0.9675016127283748,3.4691002368927,0.0936061441898346,5854,,,,59,,80316154,3154560,,,,,,
2019-10-31,1639.2316051892954,4582.407422319055,,31.8188236,35.2391593,31.8250351,35.2450133,0.7319282650642998,7.896171569824219,0.14465218782424927,7695,,,,87,,78151409,4920744,,,,,,
2019-11-01,1606.712468966069,3336.59788465593,,31.8186653,35.2437203,31.821578,35.2493087,0.8727515503077714,2.2183480262756348,0.02033868618309498,5670,,,,69,,81667918,4267082,,,,,,
2019-11-02,1474.9604738755943,1763.2936851978302,,31.8192615,35.2438667,31.8214586,35.2459097,0.9098498563489162,1.4496484994888306,0.09719052910804749,3201,,,,32,,84547342,1611611,,,,,,
2019-11-03,1743.8120234747473,7141.745218373835,,31.7804252,35.2074935,31.8249319,35.2447685,1.688525547178048,21.544300079345703,0.23466721177101135,11407,,,,120,,70067680,7027903,,,,,,
2019-11-04,1691.9514181932354,2808.8120638299733,,31.8215529,35.2388203,31.825055,35.2439453,0.618810149684764,1.6734950542449951,0.0,4614,,,,80,,81078483,2176024,,,,,,1800000
2019-11-05,1716.1752022773278,6243.501529663801,,31.7804975,35.2126939,31.8251552,35.2444788,0.8174568697252067,3.682537078857422,0.1274622678756714,10531,,,,113,,76834345,6473318,,,,,,
2019-11-06,1684.2577875934705,4915.798657715321,,31.8189065,35.2394906,31.8317446,35.2459742,1.3236090489460053,18.579654693603516,0.12102910876274109,8151,,,,93,,74244561,5830015,,,,,,
2019-11-07,1550.9716437325922,2916.887111902237,,31.8189585,35.238657,31.823876,35.2461299,0.7393138654907294,1.2529224157333374,0.2504701018333435,5070,,,,55,,82838390,3143624,,,,,,
2019-11-08,1725.0918846845377,6253.667767861858,,31.8022701,35.2354956,31.8267162,35.2448881,1.0846898796452382,5.77233362197876,0.11472193896770477,11206,,,,121,,77534198,6653033,,,,,,
2019-11-09,1621.7014427100405,4029.0015218257904,,31.8212618,35.2373801,31.8316285,35.2446054,0.8143616010435938,3.438035249710083,0.33046194911003113,7161,,,,74,,80915238,4569188,,,,,,
2019-11-10,1697.4895620193133,6206.639212369919,,31.7805438,35.2068311,31.8219162,35.2445921,0.9886449136361547,24.545223236083984,0.14106063544750214,9787,,,,97,,73984061,6096708,,,,,,
2019-11-11,2164.4698920634874,5414.785244323313,,31.8188484,35.2372369,31.8251103,35.2448471,0.7035984772381251,3.369161605834961,0.1627519726753235,8005,,,,71,,75908148,4078961,,,,,,1800000
2019-11-12,1591.3480838500939,4113.3122898656875,,31.7805583,35.2129163,31.8219148,35.2447987,0.8351847247035912,2.4495859146118164,0.2504701018333435,6823,,,,69,,77640733,3957414,,,,,,
2019-11-13,1703.9146022635377,5699.6171317100525,,31.7800499,35.2138731,31.8217858,35.2458467,0.8977502413053488,4.148581504821777,0.19489111006259918,9501,,,,103,,76859713,6226204,,,,,,
2019-11-14,1616.900838874936,4682.632452100515,,31.780527,35.2127411,31.8217686,35.2446273,0.7574800797731781,3.7185864448547363,0.0598580539226532,7919,,,,80,,79696398,4472136,,,,,,
2019-11-15,1674.0341795663237,8031.968932364602,,31.8197833,34.7545316,32.0557412,35.2401249,4.709788625011782,29.772661209106445,0.2037901133298874,12941,,,,145,,65660207,5623960,,,,,,
2019-11-16,1539.1830398489274,2814.2068330943584,,31.8192944,35.2346395,31.8218797,35.2438742,0.8354943548331151,4.723999500274658,0.26973703503608704,4797,,,,51,,83029258,2906022,,,,,,
2019-11-17,1757.404313707891,7871.5326408185065,,31.7958558,35.2068952,31.8218247,35.2446184,0.8732788533532406,21.929235458374023,0.26973703503608704,12624,,,,132,,76403153,6294166,440998,,,,,
